"Time","power consumption"
2022-09-05 21:52:50,45.8
2022-09-05 21:52:55,46.4
2022-09-05 21:53:00,46.4
2022-09-05 21:53:05,46.4
2022-09-05 21:53:10,46.4
2022-09-05 21:53:15,41.3
2022-09-05 21:53:20,41.3
2022-09-05 21:53:25,41.3
2022-09-05 21:53:30,41.3
2022-09-05 21:53:35,41.5
2022-09-05 21:53:40,41.5
2022-09-05 21:53:45,41.5
2022-09-05 21:53:50,41.5
2022-09-05 21:53:55,41.0
2022-09-05 21:54:00,41.0
2022-09-05 21:54:05,41.0
2022-09-05 21:54:10,41.0
2022-09-05 21:54:15,41.9
2022-09-05 21:54:20,41.9
2022-09-05 21:54:25,41.9
2022-09-05 21:54:30,41.9
2022-09-05 21:54:35,59.4
2022-09-05 21:54:40,59.4
2022-09-05 21:54:45,59.4
2022-09-05 21:54:50,59.4
2022-09-05 21:54:55,54.9
2022-09-05 21:55:00,54.9
2022-09-05 21:55:05,54.9
2022-09-05 21:55:10,54.9
2022-09-05 21:55:15,48.5
2022-09-05 21:55:20,48.5
2022-09-05 21:55:25,48.5
2022-09-05 21:55:30,48.5
2022-09-05 21:55:35,49.1
2022-09-05 21:55:40,49.1
2022-09-05 21:55:45,49.4
2022-09-05 21:55:50,49.4
2022-09-05 21:55:55,48.6
2022-09-05 21:56:00,48.6
2022-09-05 21:56:05,48.6
2022-09-05 21:56:10,48.6
2022-09-05 21:56:15,41.3
2022-09-05 21:56:20,41.3
2022-09-05 21:56:25,41.3
2022-09-05 21:56:30,41.3
2022-09-05 21:56:35,47.8
2022-09-05 21:56:40,47.8
2022-09-05 21:56:45,47.8
2022-09-05 21:56:50,47.8
2022-09-05 21:56:55,21.6
2022-09-05 21:57:00,21.6
2022-09-05 21:57:05,21.6
2022-09-05 21:57:10,21.6
2022-09-05 21:57:15,23.3
2022-09-05 21:57:20,23.3
2022-09-05 21:57:25,23.3
2022-09-05 21:57:30,23.3
2022-09-05 21:57:35,51.6
2022-09-05 21:57:40,51.6
2022-09-05 21:57:45,51.6
2022-09-05 21:57:50,51.6
2022-09-05 21:57:55,48.7
2022-09-05 21:58:00,48.7
2022-09-05 21:58:05,48.7
2022-09-05 21:58:10,48.7
2022-09-05 21:58:15,48.1
2022-09-05 21:58:20,48.1
2022-09-05 21:58:25,48.1
2022-09-05 21:58:30,48.1
2022-09-05 21:58:35,47.1
2022-09-05 21:58:40,47.1
2022-09-05 21:58:45,47.1
2022-09-05 21:58:50,47.1
2022-09-05 21:58:55,6.2
2022-09-05 21:59:00,6.2
2022-09-05 21:59:05,6.2
2022-09-05 21:59:10,6.2
2022-09-05 21:59:15,9.5
2022-09-05 21:59:20,9.5
2022-09-05 21:59:25,9.4
2022-09-05 21:59:30,9.4
2022-09-05 21:59:35,8.8
2022-09-05 21:59:40,8.8
2022-09-05 21:59:45,8.8
2022-09-05 21:59:50,8.8
2022-09-05 21:59:55,8.8
2022-09-05 22:00:00,8.8
2022-09-05 22:00:05,8.8
2022-09-05 22:00:10,8.8
2022-09-05 22:00:15,5.2
2022-09-05 22:00:20,5.2
2022-09-05 22:00:25,5.2
2022-09-05 22:00:30,5.2
2022-09-05 22:00:35,46.7
2022-09-05 22:00:40,46.7
2022-09-05 22:00:45,46.7
2022-09-05 22:00:50,46.7
2022-09-05 22:00:55,41.6
2022-09-05 22:01:00,41.6
2022-09-05 22:01:05,41.6
2022-09-05 22:01:10,41.6
2022-09-05 22:01:15,45.4
2022-09-05 22:01:20,45.4
2022-09-05 22:01:25,45.4
2022-09-05 22:01:30,45.4
2022-09-05 22:01:35,44.8
2022-09-05 22:01:40,44.8
2022-09-05 22:01:45,44.8
